제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
그남자오수,  2018년 3월 5일 ~ 2018년 4월 24일 ,"  월, 화 21:00~22:00 ",  16부작 ,  로맨스 범죄 ,  OCN ,2018-03-05 00:00:00
간택-여인들의전쟁, 2019년 12월 14일 ~ 2020년 2월 9일 ,"  토요일, 일요일 오후 10:50 ~ ",  16부작 ,"  로맨스, 퓨전사극 ",  TV CHOSUN ,2019-12-14 00:00:00
우리가만난기적,  2018년 4월 2일 ~ 2018년 5월 29일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  18부작 ,,  KBS 2TV ,2018-04-02 00:00:00
왕과나,  2007년 8월 27일 ~ 2008년 4월 1일 ,"  월요일, 화요일 밤 9:55 ~ 11:05 ",  63부작 ,,  SBS ,2007-08-27 00:00:00
굿캐스팅,  2020년 4월 ~ (예정) ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",   ,,  SBS ,unknown
애타는로맨스,  2017년 4월 17일 ~ 2017년 5월 30일  ,"  월, 화 13:00 ~ 14:00, 21:00 ~ 22:00 ",  13부작 ,  로맨틱 코미디 ,  OCN ,2017-04-17 00:00:00
얼렁뚱땅흥신소, 2007년 10월 8일 ~ 2007년 11월 27일 ," 월요일, 화요일 09:55 ~ 11:05 ", 16부작 , 드라마 , 한국방송공사 ,2007-10-08 00:00:00
미스터Q,   1998년 5월 20일 ~ 1998년 7월 16일 ,"  수요일, 목요일 오후 9:55 ~ 10:55 ",  18부작 ,,  SBS ,1998-05-20 00:00:00
계백,  2011년 7월 25일 ~ 2011년 11월 22일 ,"  월요일, 화요일 오후 9:55~11:15 ",  36부작 ,  사극 ,  문화방송 ,2011-07-25 00:00:00
밥잘사주는예쁜누나,  2018년 3월 30일 ~ 2018년 5월 19일 ,"  금요일 오후 10시 45분, 토요일 오후 11시 ",  16부작 ,  멜로 드라마 ,  JTBC ,2018-03-30 00:00:00
마담앙트완,  2016년 1월 22일 ~ 2016년 3월 12일,"  금요일, 토요일 오후 8:30~ ",  16부작 ,  로맨틱 코미디 ,  JTBC ,2016-01-22 00:00:00
바벨,  2019년 1월 27일 ~ 2019년 3월 24일 ,"  매주 토요일, 일요일 밤 10시 50분 ",  16부작 ,   드라마 . 범죄. 미스터리. 멜로 ,   TV CHOSUN ,2019-01-27 00:00:00
뷰티풀마인드,  2016년 6월 20일 ~ 2016년 8월 2일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  14부작 ,  의학 ,  KBS 2TV ,2016-06-20 00:00:00
아이언맨,  2014년 9월 10일 ~ 2014년 11월 13일 ,"  수요일, 목요일 오후 10:00~ ",  총 18화 ,,  KBS 2TV ,2014-09-10 00:00:00
꽃보다남자,  2009년 1월 5일 ~ 2009년 3월 31일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  25부작 + 스페셜 1부작 ,  로맨틱 코미디 ,  KBS 2TV ,2009-01-05 00:00:00
순수의시대,,,, 소설,,unknown
힐러,  2014년 12월 8일 ~ 2015년 2월 10일 ,"  월요일, 화요일 오후 10:00~11:10 ",  20부작 ,"  액션, 멜로 ",  KBS 2TV ,2014-12-08 00:00:00
나는전설이다,  2010년 8월 2일 ~ 2010년 9월 21일 ,"  월요일, 화요일 밤 8:55 ~ ",  16부작 ,,  SBS ,2010-08-02 00:00:00
메리대구공방전,  2007년 5월 16일 ~ 2007년 7월 5일 ,"  수요일, 목요일 09:55 ~ 11:05 ",  16부작 ,"  드라마, 로맨틱 코미디 ",  문화방송 ,2007-05-16 00:00:00
베이비시터,  2016년 3월 14일 ~ 2016년 3월 22일 ,"  월요일, 화요일 오후 10시 00분 ~ 오후 11시 10분 ",  4부작 ,,  KBS 2TV ,2016-03-14 00:00:00
장난스런키스,   2010년 9월 1일 ~ 2010년 10월 21일 ,"  수요일, 목요일 밤 9시 55분 ~ ",  16부작 ,,  문화방송 ,2010-09-01 00:00:00
빠담빠담,  2011년 12월 5일 ~ 2012년 2월 7일 ,"  월요일, 화요일 밤 8시 45분 ~ 9시 55분 ",  20부작 ,"  멜로, 드라마 ",  JTBC ,2011-12-05 00:00:00
미스터굿바이,  2006년 5월 22일 ~ 2006년 7월 18일 ,"  월요일, 화요일 오후 9:55 ~ ",  16부작 ,"  멜로, 드라마 ",  KBS 2TV ,2006-05-22 00:00:00
맛좀보실래요,  2019년 11월 12일 ~ 2020년 5월 1일 ,   평일 오전 8시 35분 ~ 9시 10분,  124부작 (예정) ,,  SBS ,2019-11-12 00:00:00
러블리호러블리,  2018년 8월 13일 ~ 2018년 10월 2일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  32부작 ,"  	호러, 로맨틱 코미디 ",  KBS 2TV ,2018-08-13 00:00:00
돌아온복단지,  2017년 5월 15일 ~ 2017년 11월 24일,  월요일 ~ 금요일 오후 7시 15분 ~ 7시 55분 ,  122부작 ,,  문화방송 ,2017-05-15 00:00:00
"이번주,아내가바람을핍니다",  2016년 10월 28일  ~ 2016년 12월 3일 ,"  금요일, 토요일 오후 8시 30분  ",  12부작 ,,  JTBC ,2016-10-28 00:00:00
운명처럼널사랑해,  2014년 7월 2일 ~ 2014년 9월 4일 ,"  수요일, 목요일 밤 10시 ",  20부작 ,"  드라마, 로맨틱 코미디 ",  문화방송 ,2014-07-02 00:00:00
그녀는예뻤다,  2015년 9월 16일 ~ 2015년 11월 11일 ,"  수요일, 목요일 오후 10:00~ ",  16부작 ,  로맨틱 코미디 ,  문화방송 ,2015-09-16 00:00:00
포도밭그사나이,  2006년 7월 24일 ~ 2006년 9월 12일 ,"  월요일, 화요일 오후 9:55 ~ 11:05 ",  16부작 ,"  드라마, 로맨틱 코미디 ",  한국방송공사 ,2006-07-24 00:00:00
나쁜남자,  2010년 5월 26일 ~ 2010년 8월 5일 ,"  수요일, 목요일 09:55 ~ 11:05 ",  17부작 ,"  복수, 드라마 ",  SBS ,2010-05-26 00:00:00
칼과꽃,  2013년 7월 3일 ~ 2013년 9월 5일 ,"  수요일, 목요일 오후 10:00 ~ ",  20부작 ,,  KBS 2TV ,2013-07-03 00:00:00
데릴남편오작두,  2018년 3월 3일 ~ 2018년 5월 19일 ,  토요일 오후 8시 45분 ~ 11시 15분 ,  24부작 ,,  문화방송 ,2018-03-03 00:00:00
응답하라1988, 2015년 11월 6일 ~ 2016년 1월 16일," 매주 금요일, 토요일 밤 7시 40분", 20부작,, tvN,2015-11-06 00:00:00
