제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
자꾸만보고싶네, 2000년 9월 18일 ~ 2001년 3월 30일, 월요일 ~ 금요일 밤 (시간) 8시 45분 ~ 9시 15분, 128부작, 드라마, SBS TV,2000-09-18 00:00:00
사랑하는은동아, 2015년 5월 29일 ~ 2015년 7월 18일," 매주 금요일, 토요일 밤 (시간) 8시 40분 (1회 ~ 14회)  매주 금요일, 토요일 밤 8시 30분 (15회 ~ 16회)", 16부작, 텔레비전 드라마, JTBC,2015-05-29 00:00:00
진주목걸이, 2003년 9월 20일 ~ 2004년 3월 14일," 토요일, 일요일 저녁 7시 50분 ~ 밤 8시 50분", 52부작, 드라마 드라마 음악, KBS 2TV,2003-09-20 00:00:00
거짓말, 1998년 3월 30일 ~ 1998년 6월 2일, 월~화 오후 9시 50분, 20회, 드라마, 한국방송공사,1998-03-30 00:00:00
야인시대, 2002년 7월 29일 ~ 2003년 9월 30일, 9시 55분, 124부작 + 스페셜," 시대극, 다큐드라마", SBS,2002-07-29 00:00:00
완벽한이웃을만나는법, 2007년 7월 25일 ~ 2007년 9월 27일," 매주 수,목 밤 9시 55분", 20부작, 드라마, SBS,2007-07-25 00:00:00
수상한가정부, 2013년 9월 23일 ~ 2013년 11월 26일," 월요일, 화요일 밤 10시", 20부작," 가족, 텔레비전 드라마     ", SBS TV,2013-09-23 00:00:00
수상한파트너, 2017년 5월 10일 ~ 2017년 7월 13일," 매주 수요일, 목요일 밤 10:00 ~ 11:10 (2회 연속방송)", 40부작," 법률, 로맨스, 코미디", SBS,2017-05-10 00:00:00
국희, 1999년 9월 13일 ~ 1999년 11월 16일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 10시 55분", 20부작, 드라마, 문화방송,1999-09-13 00:00:00
두번째스무살, 2015년 8월 28일 ~ 2015년 10월 17일," 매주 금요일, 토요일 밤 (시간) 8시 30분", 16부작, 텔레비전 드라마, tvN,2015-08-28 00:00:00
굿닥터, 2013년 8월 5일 ~  2013년 10월 8일," 월요일, 화요일 밤 10시", 20부작," 의학, 휴머니즘 Drama Drama Drama Drama Drama Drama Drama", KBS 제2TV,2013-08-05 00:00:00
평일오후세시의연인, 2019년 7월 5일 ~ 2019년 8월 24일," 매주 금요일, 토요일 밤 11시 ~ 12시 10분", 16부작, , 채널A,2019-07-05 00:00:00
브레인, 2011년 11월 14일 ~ 2012년 1월 17일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 11시 5분", 20부작, 메디컬     , KBS 2TV,2011-11-14 00:00:00
여자의남자, 1993년 11월 8일 ~ 1993년 12월 28일," 월요일, 화요일 밤 (시간) 9시 50분", 16부작," 드라마, 멜로", 문화방송,1993-11-08 00:00:00
천사의선택, 2012년 4월 2일 ~ 2012년 10월 12일, 월요일 ~ 금요일 오전 7시 50분 ~ 8시 30분, 140부작, 텔레비전 드라마, MBC TV,2012-04-02 00:00:00
그대의창, 1994년 11월 28일 ~ 1995년 5월 13일, 평일 8시 40분 ~ 9시 10분, 142부작, 드라마, SBS TV,1994-11-28 00:00:00
연개소문, 2006년 7월 8일 ~ 2007년 6월 17일," 토요일, 일요일 밤 8시 45분", 100부작, 대하사극, SBS TV,2006-07-08 00:00:00
피아노, 1998년 3월 30일 ~ 1998년 3월 31일, 월 ·화요일 밤 9시 55분, 2부작, 홈드라마, MBC,1998-03-30 00:00:00
이리와안아줘, 2018년 5월 16일 ~ 2018년 7월 19일," 매주 수요일, 목요일 밤 (시간) 10:00 ~ 11:10", 32부작, 드라마, MBC TV,2018-05-16 00:00:00
지금은사랑할때, 1999년 1월 4일 ~ 1999년 5월 22일,, 117부작, 드라마, 서울방송,1999-01-04 00:00:00
"내딸,금사월", 2015년 9월 5일 ~ 2016년 2월 28일," 토요일, 일요일 밤 (시간) 10시 ~ 11시 10분", 51부작," 드라마, 막장드라마 드라마음악 드라마음악 드라마음악", MBC TV,2015-09-05 00:00:00
노란복수초, 2012년 2월 27일 ~ 2012년 8월 30일, 월요일 ~ 목요일 오전 9시 45분 ~ 10시 35분, 108부작, 메디컬 드라마, tvN,2012-02-27 00:00:00
일편단심민들레, 2014년 8월 25일 ~ 2015년 2월 27일, 월요일 ~ 금요일 오전 9시 ~ 9시 40분, 134부작, 텔레비전 드라마 · 소설, 한국방송공사 KBS 2TV,2014-08-25 00:00:00
코마, 2006년 7월 21일 ~ 2006년 8월 18일, 매주 금요일 11시, 5부작," 미스터리, 스릴러", OCN (텔레비전 채널),2006-07-21 00:00:00
김약국의딸들, 2005년 1월 10일 ~ 2005년 7월 30일, 매주 월 ~ 토 오전 9시, 174부작, 텔레비전 드라마, ,2005-01-10 00:00:00
고독, 2002년 10월 21일 ~ 2002년 12월 24일, 매주 월 · 화요일 밤 9시 50분, 20부작," 텔레비전 드라마, 멜로", KBS 2TV,2002-10-21 00:00:00
고봉실아줌마구하기, 2011년 12월 17일 ~ 2012년 4월 15일, TV조선 주말드라마, 36부작, 텔레비전 드라마, TV조선,2011-12-17 00:00:00
바람의화원, 2008년 9월 24일 ~ 2008년 12월 4일," 수, 목 밤 9시 55분", 20부작 + 스페셜 2부작," 사극, 휴머니즘", SBS TV,2008-09-24 00:00:00
닥터프리즈너, 2019년 3월 20일 ~ 2019년 5월 15일," 매주 수요일, 목요일 밤 10시 ~ 11시 10분", 32부작," 범죄, 메디컬, 서스펜스", KBS 2TV,2019-03-20 00:00:00
여름아부탁해, 2019년 4월 29일 ~ 2019년 10월 25일, 매주 평일 저녁 8:30 ~ 9:00, 128부작, 드라마, KBS 1TV (본방송)KBS 2TV (재방송),2019-04-29 00:00:00
내인생의스페셜, 2006년 2월 6일 ~ 2006년 2월 28일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 11시", 8부작, 텔레비전 드라마, MBC TV,2006-02-06 00:00:00
모두다김치, 2014년 4월 7일 ~ 2014년 10월 31일, 월요일 ~ 금요일 오전 7시 50분 ~ 8시 30분, 132부작, 드라마 · 연속극, MBC TV,2014-04-07 00:00:00
"하이바이,마마!", 2020년 2월 22일 ~ 2020년 4월 19일," 매주 토요일 밤 9시 10분 ~ 10시 35분
매주 일요일 밤 9시 10분 ~ 10시 32분", 16부작, 휴먼 판타지 텔레비전 드라마 드라마음악 드라마음악 드라마음악 드라마음악, tvN,2020-02-22 00:00:00
